case_id,file_id,section_path,segment_type,has_citation,n_candidates,chunk_1,idx_1,score_1,chunk_2,idx_2,score_2,chunk_3,idx_3,score_3,idx_gap_12,idx_gap_13,score_gap_12,score_gap_13
001_recipe_three_segment_types,yFpvytc5zGpM,/0,paragraph,True,3,transcript:20,20,0.8596,transcript:121,121,0.8608,transcript:0,0,0.8954,101,20,-0.0012,-0.0359
001_recipe_three_segment_types,yFpvytc5zGpM,導入/0,paragraph,True,3,transcript:2,2,0.9425,transcript:0,0,0.9414,transcript:3,3,0.894,2,1,0.0011,0.0485
001_recipe_three_segment_types,yFpvytc5zGpM,詳細内容/0,bullet,True,3,transcript:2,2,0.9198,transcript:3,3,0.8873,transcript:0,0,0.8872,1,2,0.0325,0.0326
001_recipe_three_segment_types,yFpvytc5zGpM,詳細内容/1,bullet,True,3,transcript:3,3,0.9277,transcript:2,2,0.8806,transcript:4,4,0.8579,1,1,0.0471,0.0697
001_recipe_three_segment_types,yFpvytc5zGpM,詳細内容/2,bullet,True,3,transcript:4,4,0.9381,transcript:2,2,0.8858,transcript:3,3,0.8824,2,1,0.0523,0.0557
001_recipe_three_segment_types,yFpvytc5zGpM,詳細内容/3,bullet,True,3,transcript:7,7,0.9057,transcript:5,5,0.8861,transcript:9,9,0.8833,2,2,0.0196,0.0224
001_recipe_three_segment_types,yFpvytc5zGpM,詳細内容/4,bullet,True,3,transcript:9,9,0.9345,transcript:12,12,0.9341,transcript:14,14,0.9278,3,5,0.0004,0.0067
001_recipe_three_segment_types,yFpvytc5zGpM,詳細内容/5,bullet,True,3,transcript:27,27,0.9443,transcript:23,23,0.9318,transcript:26,26,0.9243,4,1,0.0125,0.02
001_recipe_three_segment_types,yFpvytc5zGpM,詳細内容/6,bullet,True,3,transcript:26,26,0.9503,transcript:25,25,0.9305,transcript:23,23,0.9264,1,3,0.0198,0.0238
001_recipe_three_segment_types,yFpvytc5zGpM,詳細内容/7,bullet,True,3,transcript:27,27,0.8976,transcript:29,29,0.8962,transcript:30,30,0.8948,2,3,0.0013,0.0027
001_recipe_three_segment_types,yFpvytc5zGpM,詳細内容/8,bullet,True,3,transcript:35,35,0.8878,transcript:16,16,0.8778,transcript:19,19,0.8628,19,16,0.01,0.025
001_recipe_three_segment_types,yFpvytc5zGpM,詳細内容/9,bullet,True,3,transcript:19,19,0.9156,transcript:41,41,0.8917,transcript:33,33,0.8741,22,14,0.0239,0.0415
001_recipe_three_segment_types,yFpvytc5zGpM,詳細内容/10,bullet,True,3,transcript:42,42,0.9311,transcript:18,18,0.9247,transcript:12,12,0.9238,24,30,0.0064,0.0073
001_recipe_three_segment_types,yFpvytc5zGpM,詳細内容/11,bullet,True,3,transcript:61,61,0.8898,transcript:79,79,0.8808,transcript:59,59,0.8763,18,2,0.009,0.0135
